lead_id,n_views,n_addtocart,n_unique_items,duration_sec,hour_of_day,day_of_week
LEAD-001,4,0,3,241.0,3,1
LEAD-002,17,0,17,4500.6,3,1
LEAD-003,6,0,4,415.7,4,6
LEAD-004,9,0,8,974.8,21,2
LEAD-005,11,17,19,1318.2,0,4
LEAD-006,10,2,8,1221.5,21,3
LEAD-007,5,0,3,198.8,3,4
LEAD-008,3,0,2,1774.4,23,0
LEAD-009,4,0,4,1818.3,2,3
LEAD-010,2,1,1,223.8,4,1
LEAD-011,3,1,2,39.4,0,0
LEAD-012,14,0,6,510.1,4,3
LEAD-013,2,1,1,128.2,14,0
LEAD-014,8,0,8,464.3,15,0
LEAD-015,4,2,3,2042.0,1,4
LEAD-016,3,0,3,291.7,22,4
LEAD-017,2,1,2,960.2,18,0
LEAD-018,2,1,2,208.1,15,6
LEAD-019,4,0,2,127.7,2,1
LEAD-020,6,8,8,1408.2,4,1
LEAD-021,4,0,4,72.8,20,1
LEAD-022,3,0,1,764.3,5,4
LEAD-023,4,0,4,114.5,22,0
LEAD-024,9,0,9,368.6,20,5
LEAD-025,3,0,2,193.7,0,1
LEAD-026,12,4,10,1078.1,0,3
LEAD-027,35,1,30,3326.7,0,4
LEAD-028,3,0,3,643.3,5,0
LEAD-029,4,0,4,3341.3,0,3
LEAD-030,7,1,2,416.7,2,1
